Culture,CD44,p16,p21,p38,SABG,Standardized_Circ,Standardized_AR,Standardized_Round,Standardized_Cell_area,Standardized_Nucleus_Area,Standardized_Nucleus_Circ,Standardized_Nucleus_AR,Standardized_Nucleus_Round
Dox,13.093,50.223,2.075,33.57,22.317,-0.595746465,0.112347394,-0.6121773,0.736408745,0.334768404,1.251463266,-1.014267083,1.133245266
Dox,14.819,52.013,6.323,35.04,21.258,0.400356949,-0.416815155,-0.079758434,0.326488398,-0.413418151,0.303307798,0.675097208,-0.798422801
Dox,12.502,48.133,4.422,33.427,21.495,-0.46165562,-0.534467919,0.114417858,1.148477805,-0.614850982,1.404391567,-0.949416246,1.027881553
Dox,16.721,53.619,5.075,37.328,22.35,0.764317811,-0.720018423,0.552880454,-0.814053055,-0.985337912,0.226843647,-0.119325539,-0.025755574
Dox,17.285,49.929,5.392,37.92,23.257,1.271947435,-0.952025276,1.511234412,1.752206027,-0.183212934,0.165672326,-0.200389085,0.05619398
Dox,19.706,50.701,5.393,36.341,22.27,-0.614902299,0.567839521,-0.8439361,-1.124509616,-0.708354702,-0.140184276,0.273022022,-0.435503346
Dox,14.224,46.598,4.154,36.146,22.442,-0.337142694,-0.493509363,0.045516593,-0.078311051,0.55418071,-0.660140501,-0.803501864,0.817154128
Dox,17.838,52.593,4.358,37.807,22.174,0.352467362,0.088431996,-0.593386046,-1.880738814,-0.337867773,-2.479987286,2.189364239,-1.852059928
Dox,15.599,48.377,3.157,36.14,22.185,-0.806460648,-0.986111591,1.73046571,0.889075376,0.244844899,1.679662509,-1.043449959,1.180073583
Dox,12.891,46.159,3.52,33.08,21.8,0.084285673,-0.240061119,-0.305253483,-0.584887454,-0.172420023,-1.73063861,2.143968654,-1.82864577
Dox,15.504,52.723,4.323,37.004,21.427,-0.212629767,-0.453925256,-0.023384672,-0.065919342,-0.154440548,-0.797775972,0.64267179,-0.775008643
Dox,15.569,52.429,5.005,35.945,22.132,-1.524804456,3.197158887,-1.313717452,-1.506671958,-1.244315514,-0.813068802,1.492217747,-1.418897998
Dox,17.721,54.486,8.577,33.978,21.678,-0.758571061,1.590978745,-1.125804911,0.420335522,0.48223668,0.058622516,-0.865110159,0.910810761
Dox,15.03,46.573,3.725,35.187,21.666,-0.509545208,0.603575173,-0.862727354,1.222002189,0.2771975,0.012744025,-0.576523936,0.512770069
Dox,13.919,54.455,3.799,35.769,20.992,0.24711027,-1.106788141,2.801567193,-1.099890651,-1.265901337,0.119793836,-0.88456541,0.93422492
Dox,14.893,44.442,5.25,37.479,21.378,0.572759463,-0.174637386,-0.374154748,-0.988364064,-0.388225981,0.196257987,-0.424124471,0.325456802
Dox,28.56,55.299,3.331,33.576,21.078,1.377304527,-0.808532886,0.841013016,1.816313288,4.010865312,0.731507041,-1.033722333,1.156659424
Dox,18.427,54.046,6.345,37.084,21.301,-1.496070703,1.050270832,-1.006793636,0.129045717,0.374333701,-0.124891446,0.211413727,-0.37696795
Dox,14.947,53.695,4.689,36.89,21.231,-1.045908584,1.684991001,-1.138332414,-0.451386379,-0.168813675,-0.736604651,0.613488913,-0.751594484
Dox,20.812,54.437,4.688,35.023,21.655,-0.978863162,1.254788721,-1.056903646,0.319548896,-0.319888298,-1.348317857,1.223086776,-1.231584731
Dox,15.346,52.3,5.858,35.418,20.925,-0.969285245,-0.329125361,-0.19876971,0.050399235,1.111701211,-0.981289933,0.846951924,-0.95061483
Dox,14.008,53.425,5.188,36.118,21.96,1.377304527,-0.697752363,0.49024294,0.572836497,0.957046373,0.716214211,-0.916990828,0.992760316
Dox,26.747,47.024,4.55,37.08,22.077,-0.57659063,-0.780769033,0.740792994,1.164008556,-0.244364053,0.762092702,-0.878080326,0.92251784
Dox,15.631,47.946,5.107,33.568,22.089,2.641589629,-0.890724887,1.185519341,-0.91483968,-0.470962922,1.037363644,-1.150453839,1.343972691
Dox,15.431,48.977,5.361,37.35,22.928,-0.298831024,-0.640300429,0.339912907,1.108162435,1.33830008,0.53270025,-0.398184136,0.290335564
Dox,18.392,46.011,5.728,38.403,23.024,0.160909013,-0.868458826,1.085299319,0.787628532,0.190880344,-0.170769937,-0.356031092,0.243507247
Dox,14.572,53.872,7.356,33.622,20.408,-0.327564776,0.809467511,-0.931628619,-0.847593379,-0.431397625,0.731507041,0.068741887,-0.236483
Dox,14.237,45.283,4.601,38.974,22.388,2.153115839,-0.737061581,0.602990465,-0.962259007,-1.136412535,-0.323698238,0.788586172,-0.892079435
Dox,17.75,51.297,11.015,36.603,22.087,0.093863591,0.366345418,-0.756243581,0.131027574,0.122542661,1.679662509,-1.007781999,1.121538187
Dox,16.676,50.937,4.641,37.326,21.172,0.017240251,0.504889794,-0.818881095,-1.25454034,-0.75871291,-1.302439366,1.453307245,-1.39548384
